iteration,problem,metric,metric_display_name,seed,original_value,refactored_value,absolute_difference,relative_error
9,Problem 1,P_out,Overall pass probability,20269410,0.9946853932902595,0.9946853932902595,0.0,0.0
9,Problem 1,P_E,Stage E pass probability,20269410,0.9997507661025623,0.9997507661025623,0.0,0.0
9,Problem 1,P_G,Hidden defect pool probability,20269410,0.002551319182436229,0.002551319182436229,0.0,0.0
9,Problem 1,E_T_all,Expected total processing time (h),20269410,10.42698063483929,10.42698063483929,0.0,0.0
9,Problem 2,makespan_days,Makespan (days),20269410,60.239583333333336,60.3125,0.0729166666666643,0.0012104444060175986
9,Problem 2,qualified_count,Qualified robots,20269410,113.0,113.0,0.0,0.0
9,Problem 2,omission_probability,Omission probability,20269410,0.0,0.0,0.0,0.0
9,Problem 2,misjudgment_probability,Misjudgment probability,20269410,0.006276150627615063,0.02263374485596708,0.016357594228352017,2.6063100137174215
9,Problem 2,throughput_per_day,Throughput per day,20269410,1.8758429880684766,1.8735751295336787,0.0022678585347979396,0.0012089810017271833
9,Problem 2,stage_E_station_utilization,Stage E utilization,20269410,0.5851418073257547,0.2746849942726233,0.31045681305313144,0.5305667945211388
9,Problem 3,makespan_days,Makespan (days),20269410,30.770833333333332,30.770833333333332,0.0,0.0
9,Problem 3,qualified_count,Qualified robots,20269410,107.0,107.0,0.0,0.0
9,Problem 3,omission_probability,Omission probability,20269410,0.0,0.0,0.0,0.0
9,Problem 3,misjudgment_probability,Misjudgment probability,20269410,0.00641025641025641,0.00641025641025641,0.0,0.0
9,Problem 3,throughput_per_day,Throughput per day,20269410,3.4773188896411646,3.4773188896411646,0.0,0.0
9,Problem 3,stage_E_station_utilization,Stage E utilization,20269410,0.5407063060154325,0.27876416481565713,0.2619421411997753,0.484444398531389
10,Problem 1,P_out,Overall pass probability,20270419,0.9945800690362042,0.9945800690362042,0.0,0.0
10,Problem 1,P_E,Stage E pass probability,20270419,0.9996914744530087,0.9996914744530087,0.0,0.0
10,Problem 1,P_G,Hidden defect pool probability,20270419,0.0028620537906488552,0.0028620537906488552,0.0,0.0
10,Problem 1,E_T_all,Expected total processing time (h),20270419,10.448036095168558,10.448036095168558,0.0,0.0
10,Problem 2,makespan_days,Makespan (days),20270419,59.4375,59.40972222222222,0.027777777777778567,0.00046734431592477084
10,Problem 2,qualified_count,Qualified robots,20270419,112.0,112.0,0.0,0.0
10,Problem 2,omission_probability,Omission probability,20270419,0.0,0.0,0.0,0.0
10,Problem 2,misjudgment_probability,Misjudgment probability,20270419,0.00423728813559322,0.012605042016806723,0.008367753881213504,1.9747899159663869
10,Problem 2,throughput_per_day,Throughput per day,20270419,1.8843322818086226,1.8852133255406196,0.0008810437319970443,0.00046756282875512787
10,Problem 2,stage_E_station_utilization,Stage E utilization,20270419,0.546783446332584,0.27710703505920664,0.2696764112733774,0.4932051492819796
10,Problem 3,makespan_days,Makespan (days),20270419,30.770833333333332,30.864583333333332,0.09375,0.003046716316858497
10,Problem 3,qualified_count,Qualified robots,20270419,109.0,109.0,0.0,0.0
10,Problem 3,omission_probability,Omission probability,20270419,0.0,0.0,0.0,0.0
10,Problem 3,misjudgment_probability,Misjudgment probability,20270419,0.012875536480686695,0.012875536480686695,0.0,0.0
10,Problem 3,throughput_per_day,Throughput per day,20270419,3.5423155044008126,3.531555855551806,0.010759648849006709,0.003037462031724562
10,Problem 3,stage_E_station_utilization,Stage E utilization,20270419,0.5304849341071177,0.2666069958653897,0.263877938241728,0.4974277708487093
11,Problem 1,P_out,Overall pass probability,20271428,0.9958521144470681,0.9958521144470681,0.0,0.0
11,Problem 1,P_E,Stage E pass probability,20271428,0.9998206907198094,0.9998206907198094,0.0,0.0
11,Problem 1,P_G,Hidden defect pool probability,20271428,0.0025964981906644313,0.0025964981906644313,0.0,0.0
11,Problem 1,E_T_all,Expected total processing time (h),20271428,10.402759053578011,10.402759053578011,0.0,0.0
11,Problem 2,makespan_days,Makespan (days),20271428,59.44964721318809,60.239583333333336,0.7899361201452422,0.013287482048674052
11,Problem 2,qualified_count,Qualified robots,20271428,112.0,112.0,0.0,0.0
11,Problem 2,omission_probability,Omission probability,20271428,0.0,0.0,0.0,0.0
11,Problem 2,misjudgment_probability,Misjudgment probability,20271428,0.016736401673640166,0.020833333333333332,0.004096931659693166,0.2447916666666667
11,Problem 2,throughput_per_day,Throughput per day,20271428,1.8839472604162792,1.8592426076430917,0.024704652773187563,0.013113240106163477
11,Problem 2,stage_E_station_utilization,Stage E utilization,20271428,0.524922097030546,0.26597458014506714,0.2589475168854789,0.4933065655843601
11,Problem 3,makespan_days,Makespan (days),20271428,31.791666666666668,31.385416666666668,0.40625,0.012778505897771953
11,Problem 3,qualified_count,Qualified robots,20271428,113.0,113.0,0.0,0.0
11,Problem 3,omission_probability,Omission probability,20271428,0.0,0.0,0.0,0.0
